,,,SOC,SEI,Power,T,,delta SEI
264,24606,25171,79,1.33E-08,-0.68421,23,1.3333E-08,3.2999999669E-11
265,24606,25171,79,1.33E-08,-0.57895,23,1.3333E-08,3.3000000248E-11
266,24606,25171,79,1.33E-08,-0.47368,23,1.3333E-08,3.2999999801E-11
267,24606,25171,79,1.33E-08,-0.36842,23,1.3333E-08,3.2999999400E-11
268,24606,25171,79,1.33E-08,-0.26316,23,1.3333E-08,3.2999999589E-11
269,24606,25171,79,1.33E-08,-0.15789,23,1.3333E-08,3.3000000871E-11
270,24606,25171,79,1.33E-08,-0.052632,23,1.3333E-08,3.2999999971E-11
271,24606,25171,79,1.33E-08,0.052632,23,1.3333E-08,3.3004481970E-11
272,24606,25171,79,1.33E-08,0.15789,23,1.3333E-08,3.3004609976E-11
273,24606,25171,79,1.33E-08,0.26316,23,,#VALUE!
274,24606,25171,79,1.33E-08,0.36842,23,1.3333E-08,3.3004881249E-11
275,24606,25171,79,1.33E-08,0.47368,23,1.3333E-08,3.3005024177E-11
276,24606,25171,79,1.33E-08,0.57895,23,,#VALUE!
277,24606,25171,79,1.33E-08,0.68421,23,1.3333E-08,3.3005328641E-11
278,24606,25171,79,1.33E-08,0.78947,23,,#VALUE!
279,24606,25171,79,1.33E-08,0.89474,23,1.3333E-08,3.3005658083E-11
280,24606,25171,79,1.33E-08,1,23,1.3333E-08,3.3005832128E-11
281,24606,25171,79,1.44E-08,-1,23,1.4444E-08,4.4000000038E-11
282,24606,25171,79,1.44E-08,-0.89474,23,1.4444E-08,4.4000000522E-11
283,24606,25171,79,1.44E-08,-0.78947,23,1.4444E-08,4.4000000434E-11
284,24606,25171,79,1.44E-08,-0.68421,23,1.4444E-08,4.4000000023E-11
285,24606,25171,79,1.44E-08,-0.57895,23,1.4444E-08,4.3999999874E-11
286,24606,25171,79,1.44E-08,-0.47368,23,1.4444E-08,4.4000000221E-11
287,24606,25171,79,1.44E-08,-0.36842,23,1.4444E-08,4.3999999776E-11
288,24606,25171,79,1.44E-08,-0.26316,23,1.4444E-08,4.3999999463E-11
289,24606,25171,79,1.44E-08,-0.15789,23,1.4444E-08,4.3999999940E-11
290,24606,25171,79,1.44E-08,-0.052632,23,1.4444E-08,4.3999999958E-11
291,24606,25171,79,1.44E-08,0.052632,23,1.4444E-08,4.4004479845E-11
292,24606,25171,79,1.44E-08,0.15789,23,,#VALUE!
293,24606,25171,79,1.44E-08,0.26316,23,,#VALUE!
294,24606,25171,79,1.44E-08,0.36842,23,1.4444E-08,4.4004865530E-11
295,24606,25171,79,1.44E-08,0.47368,23,,#VALUE!
296,24606,25171,79,1.44E-08,0.57895,23,1.4444E-08,4.4005148133E-11
297,24606,25171,79,1.44E-08,0.68421,23,1.4444E-08,4.4005296591E-11
298,24606,25171,79,1.44E-08,0.78947,23,,#VALUE!
299,24606,25171,79,1.44E-08,0.89474,23,1.4444E-08,4.4005612775E-11
300,24606,25171,79,1.44E-08,1,23,1.4444E-08,4.4005777840E-11
301,24606,25171,79,1.56E-08,-1,23,1.5556E-08,-4.3999999856E-11
302,24606,25171,79,1.56E-08,-0.89474,23,1.5556E-08,-4.4000000018E-11
303,24606,25171,79,1.56E-08,-0.78947,23,1.5556E-08,-4.4000000248E-11
304,24606,25171,79,1.56E-08,-0.68421,23,,#VALUE!
305,24606,25171,79,1.56E-08,-0.57895,23,1.5556E-08,-4.4000000405E-11
306,24606,25171,79,1.56E-08,-0.47368,23,1.5556E-08,-4.4000000265E-11
307,24606,25171,79,1.56E-08,-0.36842,23,,#VALUE!
